GFA_ID,Name,SMILES,Gal-1 Kd operator,Gal-1 Kd value (μM),Gal-3 Kd operator,Gal-3 Kd value (μM),Source,Name in source,Source type,Citation,Mono/Disaccharide,Possible X-bond,Series,Molecular weight,Polar SA,HB acceptors,HB donors,Rotatable bonds
GFA_6,beta-LacNAcOMe,CC(=O)N[C@@H]([C@@H](O1)OC)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,70,=,67,Salameh 2006,17,Paper,10.1016/j.bmc.2005.09.050,Disaccharide,No,LacNAc derivatives,397.383,187.4,11,7,6
GFA_7,TDG,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)S[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,nd,nd,=,50,Bum-Erdene 2013,TDG,Paper,10.1002/cbic.201300245,Disaccharide,No,Thiodisaccharide derivatives,358.367,205.6,11,8,4
GFA_7,TDG,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)S[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,24,=,49,Cumpstey 2008,28,Paper,10.1002/chem.200701932,Disaccharide,No,Thiodisaccharide derivatives,358.367,205.6,11,8,4
GFA_7,TDG,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)S[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,78,=,49,Delaine 2008,1,Paper,10.1021/jm801077j,Disaccharide,No,Thiodisaccharide derivatives,358.367,205.6,11,8,4
GFA_7,TDG,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)S[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,24,=,43,Hattum 2013,TDG,Paper,10.1021/jm301677r,Disaccharide,No,Thiodisaccharide derivatives,358.367,205.6,11,8,4
GFA_8,TD-139,c1ccc(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@@H](O3)S[C@H](O4)[C@H](O)[C@H]([C@@H](O)[C@H]4CO)n(nn5)cc5-c6cc(F)ccc6,=,0.012,=,0.014,Delaine 2016,4,Paper,10.1002/cbic.201600285,Disaccharide,No,Thiodisaccharide derivatives,648.648,226.56,13,6,8
GFA_8,TD-139,c1ccc(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@@H](O3)S[C@H](O4)[C@H](O)[C@H]([C@@H](O)[C@H]4CO)n(nn5)cc5-c6cc(F)ccc6,=,0.06,=,0.001,Leffler 2018 US10800804B2,SX,Patent,US10800804B2,Disaccharide,No,Thiodisaccharide derivatives,648.648,226.56,13,6,8
GFA_8,TD-139,c1ccc(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@@H](O3)S[C@H](O4)[C@H](O)[C@H]([C@@H](O)[C@H]4CO)n(nn5)cc5-c6cc(F)ccc6,=,0.012,=,0.0023,Peterson 2018,1,Paper,10.1021/acs.jmedchem.7b01626,Disaccharide,No,Thiodisaccharide derivatives,648.648,226.56,13,6,8
GFA_8,TD-139,c1ccc(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@@H](O3)S[C@H](O4)[C@H](O)[C@H]([C@@H](O)[C@H]4CO)n(nn5)cc5-c6cc(F)ccc6,=,0.04,=,0.002,Zetterberg 2016 WO2016113335A1,Ref1,Patent,WO2016113335A1,Disaccharide,No,Thiodisaccharide derivatives,648.648,226.56,13,6,8
GFA_9,,c1c(F)c(F)c(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc(c4)ccc(C)c4C,nd,nd,=,0.15,Brimert 2022 US20220289783A1,1,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,481.498,125.93,6,3,5
GFA_10,,c1ccc(Br)cc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.037,Brimert 2022 US20220289783A1,2,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,532.344,125.93,6,3,5
GFA_11,,CCOc1cc(ccc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.42,Brimert 2022 US20220289783A1,3,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,497.497,135.16,7,3,7
GFA_12,,c1cnccc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.19,Brimert 2022 US20220289783A1,4,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,454.431,138.82,7,3,5
GFA_13,,c1cc(Cl)cc(Cl)c1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.65,Brimert 2022 US20220289783A1,5,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,522.333,125.93,6,3,5
GFA_14,,CC(=O)Nc1ccc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.313,Brimert 2022 US20220289783A1,6,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,510.496,155.03,7,4,6
GFA_15,,c1c(F)c(F)c(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc(cc4)ccc4OC,nd,nd,=,0.41,Brimert 2022 US20220289783A1,7,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,483.47,135.16,7,3,6
GFA_16,,Clc1cccc(c1Cl)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.53,Brimert 2022 US20220289783A1,8,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,522.333,125.93,6,3,5
GFA_17,GB-1107,Clc1c(Cl)ccc(c1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.017,Brimert 2022 US20220289783A1,9,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,522.333,125.93,6,3,5
GFA_18,,c1ccccc1CS[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,1.13,Brimert 2022 US20220289783A1,10,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,467.47,125.93,7,3,6
GFA_19,,COc1cc(ccc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.27,Brimert 2022 US20220289783A1,11,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,483.47,135.16,7,3,6
GFA_20,,c1c(F)c(F)c(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc(c4)ccc(c45)cccc5,nd,nd,=,0.18,Brimert 2022 US20220289783A1,12,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,503.504,125.93,6,3,5
GFA_21,,Cc1cc(ccc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.24,Brimert 2022 US20220289783A1,13,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,467.47,125.93,6,3,5
GFA_22,,FC(F)(F)c1cc(ccc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.13,Brimert 2022 US20220289783A1,14,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,521.442,125.93,6,3,6
GFA_23,,c1cc(Br)ccc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.52,Brimert 2022 US20220289783A1,15,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,532.344,125.93,6,3,5
GFA_24,,c1c(Cl)cc(Cl)cc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.08,Brimert 2022 US20220289783A1,16,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,522.333,125.93,6,3,5
GFA_25,,c1ccc(C)c(c1C)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,1.58,Brimert 2022 US20220289783A1,17,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,481.498,125.93,6,3,5
GFA_26,,c1c(F)c(F)c(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc4cccc(c45)cccc5,nd,nd,=,0.96,Brimert 2022 US20220289783A1,18,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,503.504,125.93,6,3,5
GFA_27,,c1ccc(Cl)cc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.049,Brimert 2022 US20220289783A1,19,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,487.888,125.93,6,3,5
GFA_28,,FC(F)(F)Oc1cc(ccc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.5,Brimert 2022 US20220289783A1,20,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,537.441,135.16,7,3,7
GFA_29,,n1ccccc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.51,Brimert 2022 US20220289783A1,21,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,454.431,138.82,7,3,5
GFA_30,,Clc1c(Cl)ccc(c1)O[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.49,Brimert 2022 US20220289783A1,22,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,506.269,109.86,7,3,5
GFA_31,,c1cc(Cl)ccc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.2,Brimert 2022 US20220289783A1,23,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,487.888,125.93,6,3,5
GFA_32,,Clc1c(Cl)ccc(c1)[S@@](=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.01,Brimert 2022 US20220289783A1,24,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,538.333,136.91,6,3,5
GFA_33,,Clc1c(Cl)ccc(c1)S(=O)(=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.062,Brimert 2022 US20220289783A1,25,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,554.332,143.15,8,3,5
GFA_34,,c1cc(Cl)ccc1[S@@](=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.77,Brimert 2022 US20220289783A1,26,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,503.888,136.91,6,3,5
GFA_35,,c1ccccc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.4,Brimert 2022 US20220289783A1,27,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,453.443,125.93,6,3,5
GFA_36,,Fc1c(Cl)cc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.048,Brimert 2022 US20220289783A1,28,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,505.879,125.93,6,3,5
GFA_37,,Cc1ccc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.46,Brimert 2022 US20220289783A1,29,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,467.47,125.93,6,3,5
GFA_38,,Fc1ccc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.27,Brimert 2022 US20220289783A1,30,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,471.434,125.93,6,3,5
GFA_39,,FC(F)(F)Oc1ccc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.28,Brimert 2022 US20220289783A1,31,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,537.441,135.16,7,3,7
GFA_40,,c1ccccc1O[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,1,Brimert 2022 US20220289783A1,32,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,437.379,109.86,7,3,5
GFA_41,,c1ccc(Cl)cc1O[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.25,Brimert 2022 US20220289783A1,33,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,471.824,109.86,7,3,5
GFA_42,,c1cc(Cl)ccc1O[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.57,Brimert 2022 US20220289783A1,34,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,471.824,109.86,7,3,5
GFA_43,,C1CCCCC1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.44,Brimert 2022 US20220289783A1,35,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,459.491,125.93,7,3,5
GFA_44,,c1c(Cl)c(Cl)cc(Cl)c1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.06,Brimert 2022 US20220289783A1,36,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,556.778,125.93,6,3,5
GFA_45,,c1c(Cl)ccc(Cl)c1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.084,Brimert 2022 US20220289783A1,37,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,522.333,125.93,6,3,5
GFA_46,,c1ccc(cc1O)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.49,Brimert 2022 US20220289783A1,38,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,469.443,146.16,7,4,5
GFA_47,,c1ccc(Br)cc1[S@@](=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.023,Brimert 2022 US20220289783A1,39,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,548.344,136.91,6,3,5
GFA_48,,c1ccccc1CCS[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.48,Brimert 2022 US20220289783A1,40,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,481.498,125.93,7,3,7
GFA_49,,c1cc(Cl)ccc1-c(nc(n2)N)cc2CO[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc(c4)ccc(Cl)c4Cl,nd,nd,=,1.3,Brimert 2022 US20220289783A1,41,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,558.872,156.25,7,4,7
GFA_50,,Clc1c(Cl)ccc(c1)[S@@](=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4c(F)c(F)c(F)c(F)c4F,nd,nd,=,0.002,Brimert 2022 US20220289783A1,42,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,574.314,136.91,6,3,5
GFA_51,,c1ncc(Cl)cc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.035,Brimert 2022 US20220289783A1,43,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,488.876,138.82,7,3,5
GFA_52,GB-1211,c1ncc(Br)cc1S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.023,Brimert 2022 US20220289783A1,44,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,533.332,138.82,7,3,5
GFA_53,,N#Cc1cc(cc(Cl)c1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.041,Brimert 2022 US20220289783A1,45,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,512.898,149.72,7,3,6
GFA_54,,N#Cc1c(Cl)cc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.031,Brimert 2022 US20220289783A1,46,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,512.898,149.72,7,3,6
GFA_55,,N#Cc1c(Cl)cc(c(F)c1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.029,Brimert 2022 US20220289783A1,47,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,530.889,149.72,7,3,6
GFA_56,,N#Cc1c(Br)cc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.043,Brimert 2022 US20220289783A1,48,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,557.354,149.72,7,3,6
GFA_57,,FC(F)(F)c1c(Br)cc(cn1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.023,Brimert 2022 US20220289783A1,49,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,601.33,138.82,7,3,6
GFA_58,,N#Cc1c(Cl)cc(cn1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.039,Brimert 2022 US20220289783A1,50,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,513.886,162.61,8,3,6
GFA_59,,N#Cc1c(Cl)cc(nn1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.054,Brimert 2022 US20220289783A1,51,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,514.873,175.5,9,3,6
GFA_60,,Clc1c(Cl)ccc(c1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4c(F)c(F)c(F)c(F)c4F,nd,nd,=,0.037,Brimert 2022 US20220289783A1,52,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,558.314,125.93,6,3,5
GFA_61,,Clc1c(Cl)ccc(c1)S(=O)(=O)[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4c(F)c(F)c(F)c(F)c4F,nd,nd,=,0.013,Brimert 2022 US20220289783A1,53,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,590.313,143.15,8,3,5
GFA_62,,N#Cc1c(OC)cc(nn1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.25,Brimert 2022 US20220289783A1,54,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,510.455,184.73,10,3,7
GFA_63,,N#Cc1c(O)cc(nn1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.94,Brimert 2022 US20220289783A1,55,Patent,US20220289783A1,Monosaccharide,No,Alpha-thiogalactosides,496.428,195.73,10,4,6
GFA_64,,c1c(F)c(F)c(F)cc1-c2cn(nn2)[C@@H]([C@@H](O)[C@H]3CO)[C@@H](O)[C@H](O3)Sc4ccc(F)c(Cl)c4F,nd,nd,=,0.15,Brimert 2022 US20220289783A1,56,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,523.869,125.93,6,3,5
GFA_65,,Clc1c(Cl)ccc(c1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4ccccc4,nd,nd,=,1.45,Brimert 2022 US20220289783A1,57,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,468.362,125.93,6,3,5
GFA_66,,Fc1c(Cl)cc(cc1Cl)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.018,Brimert 2022 US20220289783A1,58,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,540.324,125.93,6,3,5
GFA_67,,c1c(Cl)c(Cl)cc(c1F)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.027,Brimert 2022 US20220289783A1,59,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,540.324,125.93,6,3,5
GFA_68,,Fc1c(Br)cc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.024,Brimert 2022 US20220289783A1,60,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,550.335,125.93,6,3,5
GFA_69,,FC(F)(F)c1c(Cl)cc(cc1)S[C@@H](O2)[C@H](O)[C@H]([C@@H](O)[C@H]2CO)n(nn3)cc3-c4cc(F)c(F)c(F)c4,nd,nd,=,0.031,Brimert 2022 US20220289783A1,61,Patent,US20220289783A1,Monosaccharide,Yes,Alpha-thiogalactosides,555.887,125.93,6,3,6
